name,date,diameter_min_m,diameter_max_m,is_hazardous,miss_distance_km,velocity_kph
(2014 DV110),2026-09-07,27.8326768072,62.2357573367,False,62374091.566560944,51750.1462948733
(2019 BT2),2026-09-07,211.1324447897,472.1064988055,True,69253362.065053728,71011.4068959329
(2019 LV),2026-09-07,37.3727431914,83.5679942816,False,35743376.74290279,15838.8495612577
(2014 SU1),2026-09-02,27.0741590945,60.5396601689,False,73140768.512617392,61503.6225854884
(2017 FF101),2026-09-02,41.9329075486,93.7648317729,False,60448776.015372292,24914.2518872788
(2019 HE),2026-09-02,12.14940408,27.1668934089,False,72955344.570715117,31449.9222956532
(2000 RE52),2026-09-01,90.8981358201,203.2544107219,False,41876395.231299032,63054.0650775395
(2001 SL264),2026-09-01,252.6707541538,564.9889822141,False,56674997.437795626,6044.3214945441
(2007 SV1),2026-09-01,30.5179232594,68.2401509401,False,49121726.242399774,67248.6487551158
(2011 CT4),2026-09-01,207.2788433771,463.4895840887,True,71157631.828855892,79813.4000714773
(2014 KO62),2026-09-01,15.2951935344,34.201092472,False,37715800.409038063,14241.6335724906
(2016 YP4),2026-09-01,10.5816885933,23.6613750114,False,73728395.752680477,26921.348121924
(2018 DM),2026-09-01,42.1264610556,94.1976305719,False,31951940.126424295,41804.333055274
(2018 RD2),2026-09-01,10.1989385852,22.8055199748,False,7471152.316938456,34498.9514732656
(2019 LL6),2026-09-01,201.6299194428,450.8582061718,False,29285401.192820642,49270.4975554567
(2016 HF2),2026-09-04,16.0160337979,35.8129403019,False,64651536.687748692,65981.1548706574
(2018 XF2),2026-09-04,14.6067964271,32.6617897446,False,57724743.07485812,77774.7616795534
(2019 PM),2026-09-04,53.0340723319,118.5877908577,False,34733102.967593193,47969.2180481371
337075 (1998 QC1),2026-09-03,290.1048414281,648.694146035,True,50661467.031707679,83920.9975094801
(2013 QF11),2026-09-03,31.9561886721,71.4562101727,False,34921102.191948157,64495.8827731451
(2014 SF304),2026-09-03,9.216265485,20.6081961232,False,69497751.278998398,73638.6809644537
(2014 YT34),2026-09-03,30.5179232594,68.2401509401,False,54941534.422977824,23216.2262798905
(2015 DM215),2026-09-03,38.4197891064,85.9092601232,False,16494855.309275473,51137.111294626
(2017 QB35),2026-09-03,3.6690613753,8.2042706488,False,27431274.361154854,32075.9851918497
(2019 LL5),2026-09-03,515.8874662642,1153.5594433068,False,56280080.707807415,65619.1352731126
186822 (2004 FE31),2026-09-06,732.0739893473,1636.96720474,False,29580201.388365154,40654.2749959267
246138 (2007 OG3),2026-09-06,595.0520786315,1330.5768979725,False,19039680.383621823,17651.7653076301
(2008 CE22),2026-09-06,13.9493822934,31.1917670523,False,30793365.030894201,51131.4076114142
(2008 GA4),2026-09-06,361.8719965994,809.1703835499,False,28238904.866373909,87272.3442302842
(2015 TH1),2026-09-06,58.1507039646,130.0289270043,False,53699065.934016181,30534.356140326
(2018 EY),2026-09-06,46.1907460282,103.2856480504,False,54991630.83017663,49948.6459060922
(2018 VV4),2026-09-06,12.7219878539,28.4472296503,False,68255521.967111311,26912.1951690517
(2006 HC2),2026-09-05,117.639989374,263.0510131126,True,52936207.737561354,78249.1417267734
(2018 BX),2026-09-05,4.0230457983,8.9958038817,False,45436725.967262489,29040.4308728702
(2019 QL7),2026-09-05,12.4324000554,27.7996916474,False,45508479.343945668,75528.0190311059
